,id,imdb_id,popularity,budget,revenue,original_title,cast,homepage,director,tagline,keywords,overview,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj,production
6598,6877,tt0427229,1.223177,50000000,88715192,Failure to Launch,Matthew McConaughey|Sarah Jessica Parker|Zooey Deschanel|Justin Bartha|Bradley Cooper,,Tom Dey,"To leave the nest, some men just need a little push.",hotel mom|romantic comedy|lying|living with parents|pretend relationship,"Tripp, an attractive man in his thirties, is still living with his parents Al and Sue. Tripp's best friends Demo and Ace are also still living in their parents' homes and seem proud of it. Al and Sue are not happy, however, and are fascinated when friends whose adult son has recently moved away from home reveal they hired an expert to arrange the matter and couldn't be happier with the result.",97,Comedy,Paramount Pictures|Scott Rudin Productions|Failure to Launch Productions,2006-03-10,242,5.6,2006,54083457.9146,95960487.0583,Paramount Pictures
6604,1247,tt0343737,1.18228,85000000,59908565,The Good Shepherd,Matt Damon|Angelina Jolie|Alec Baldwin|Tammy Blanchard|Billy Crudup,http://www.thegoodshepherdmovie.com/,Robert De Niro,The untold story of the most powerful covert agency in the world.,london|berlin|usa|spy|cia,"Edward Wilson, the only witness to his father's suicide and member of the Skull and Bones Society while a student at Yale, is a morally upright young man who values honor and discretion, qualities that help him to be recruited for a career in the newly founded OSS. His dedication to his work does not come without a price though, leading him to sacrifice his ideals and eventually his family.",167,Drama|Thriller|History,Universal Pictures|American Zoetrope|Morgan Creek Productions,2006-12-11,174,5.9,2006,91941878.4548,64801247.078,Universal Pictures
6607,82,tt0430357,1.114239,135000000,163794509,Miami Vice,Jamie Foxx|Colin Farrell|Gong Li|Luis Tosar|Naomie Harris,,Michael Mann,No Law. No Rules. No Order.,butts|crushed throat|drug deal|havana cuba|speedboat ,Miami Vice is a feature film based on the 1980s action drama TV series. The film tells the story of vice detectives Crockett and Tubbs and how their personal and professional lives are dangerously getting mixed.,134,Action|Adventure|Crime|Thriller,Universal Pictures|Forward Pass|Motion Picture ETA Produktionsgesellschaft|Foqus Arte Digital|Metropolis Films,2006-07-27,283,5.7,2006,146025336.369,177171468.683,Universal Pictures
6613,9975,tt0381971,1.057194,50000000,69834815,Curious George,Frank Welker|Will Ferrell|Shane Baumel|Eugene Levy|Timyra-Joi Beatty,,Matthew O'Callaghan,Get Carried Away With The Cutest Little Monkey Around!,museum|product placement|balloon|jungle|monkey,"Will Ferrell stars as The Man in the Yellow Hat, a gentleman who looks after his pet monkey - an inquisitive and wonderful creature whose enthusiasm often gets the best of him.",86,Adventure|Animation|Comedy|Family,Imagine Entertainment|Universal Pictures|Universal Animation Studios,2006-02-10,68,5.8,2006,54083457.9146,75538165.5605,Universal Pictures
6615,7516,tt0475394,1.027989,17000000,57103895,Smokin' Aces,Ryan Reynolds|Ray Liotta|Joseph Ruskin|Alex Rocco|Wayne Newton,http://www.smokinaces.net/,Joe Carnahan,Nobody gets away clean.,neo-nazi|gun|sniper|fbi|hitman,"When a Las Vegas performer-turned-snitch named Buddy Israel decides to turn state's evidence and testify against the mob, it seems that a whole lot of people would like to make sure he's no longer breathing.",109,Action|Comedy|Crime|Thriller,Universal Pictures|StudioCanal|Relativity Media|Scion Films|Working Title Films,2006-12-09,306,6.3,2006,18388375.691,61767522.0398,Universal Pictures
6625,9035,tt0439815,0.921035,15500000,0,Slither,Nathan Fillion|Don Thompson|Elizabeth Banks|Gregg Henry|Xantha Radley,,James Gunn,Horror Has A New Face,mutant|meteor|meat|overweight woman|cult favorite,"A small town is taken over by an alien plague, turning residents into zombies and all forms of mutant monsters.",95,Comedy|Horror|Science Fiction,Universal Pictures,2006-03-31,133,6.1,2006,16765871.9535,0.0,Universal Pictures
6640,9353,tt0457510,0.840205,32000000,80197993,Nacho Libre,Jack Black|Ana de la Reguera|Héctor Jiménez|Darius Rose|Moisés Arias,http://www.nacholibre.com/,Jared Hess,He's not lean. He's not mean. He's nacho average hero.,nun|sport|orphanage|ordensbruder|ringer,"Nacho Libre is loosely based on the story of Fray Tormenta (""Friar Storm""), aka Rev. Sergio Gutierrez Benitez, a real-life Mexican Catholic priest who had a 23-year career as a masked luchador. He competed in order to support the orphanage he directed. The producers are Jack Black, David Klawans, Julia Pistor, and Mike White.",92,Comedy|Family,Paramount Pictures|Nickelodeon Movies|Black & White Productions,2006-06-16,214,5.5,2006,34613413.0653,86747695.585,Paramount Pictures
6641,9676,tt0387877,0.838431,50000000,49111202,The Black Dahlia,Josh Hartnett|Scarlett Johansson|Aaron Eckhart|Hilary Swank|Mia Kirshner,,Brian De Palma,Inspired by the most notorious unsolved murder in California history.,pornography|observer|los angeles|murder hunt,"Lee Blanchard and Bucky Bleichert are former boxers-turned-cops in 1940's Los Angeles and, when an aspiring young actress turns up dead, Blanchard and Bleichert must grapple with corruption, narcissism, stag films and family madness as they pursue the killer.",121,Drama,Universal Pictures|Davis-Films|Signature Pictures|Linson Entertainment|Art Linson Productions,2006-09-15,151,5.8,2006,54083457.9146,53122072.53,Universal Pictures
6644,9310,tt0465142,0.793804,17000000,7314027,American Dreamz,Hugh Grant|Dennis Quaid|Mandy Moore|Willem Dafoe|Chris Klein,,Paul Weitz,Imagine a country where more people vote for a pop idol than they do for their next President.,u.s. president|moderator|musical|music|castingshow,"The new season of ""American Dreamz,"" the wildly popular television singing contest, has captured the country's attention, as the competition looks to be between a young Midwestern gal (Moore) and a showtunes-loving young man from Orange County (Golzari). Recently awakened President Staton (Quaid) even wants in on the craze, as he signs up for the potential explosive season finale.",107,Comedy|Drama|Family,Universal Pictures|Depth of Field,2006-03-04,43,4.6,2006,18388375.691,7911357.42881,Universal Pictures
6648,1819,tt0463034,0.780687,54000000,130431368,"You, Me and Dupree",Kate Hudson|Owen Wilson|Matt Dillon|Michael Douglas|Seth Rogen,http://www.youmeanddupree.com/,Anthony Russo|Joe Russo,Two's company. Dupree's a crowd.,roommate|love of one's life|newlywed,"After standing in as best man for his longtime friend Carl Petersen, Randy Dupree loses his job, becomes a barfly and attaches himself to the newlywed couple almost permanently -- as their houseguest. But the longer Dupree camps out on their couch, the closer he gets to Carl's bride, Molly, leaving the frustrated groom wondering when his pal will be moving out.",108,Comedy|Romance,Universal Pictures|Kaplan/Perrone Entertainment|MMCB Film Produktion 2004,2006-07-14,242,5.3,2006,58410134.5477,141083588.039,Universal Pictures
6661,1852,tt0469641,0.711674,63000000,162945894,World Trade Center,Nicolas Cage|Maria Bello|Maggie Gyllenhaal|Michael Peña|Jay Hernandez,,Oliver Stone,The World Saw Evil That Day. Two Men Saw Something Else.,terror|runaway|alarm clock|hero|firemen,"On September, 11th 2001, after the terrorist attack to the World Trade Center, the building collapses over the rescue team from the Port Authority Police Department. Will Jimeno and his sergeant John McLoughlin are found alive trapped under the wreckage while the rescue teams fight to save them.",128,Drama|History|Thriller,Paramount Pictures|Double Feature Films|Intermedia Films|Kernos Filmproduktionsgesellschaft & Company,2006-08-09,240,5.9,2006,68145156.9724,176253548.01,Paramount Pictures
6669,9788,tt0384793,0.692543,23000000,38505009,Accepted,Justin Long|Jonah Hill|Blake Lively|Adam Herschman|Columbus Short,,Steve Pink,When every college turned them down. . . they made one up.,hot dog costume|electro shock|fake school|strait jacket|croquet,"A high school slacker who's rejected by every school he applies to opts to create his own institution of higher learning, the South Harmon Institute of Technology, on a rundown piece of property near his hometown.",93,Comedy,Universal Pictures|Shady Acres Entertainment,2006-08-18,229,6.1,2006,24878390.6407,41649680.675,Universal Pictures
6673,9907,tt0414853,0.674705,51000000,72779000,Barnyard,Courteney Cox|Kevin James|Sam Elliott|Danny Glover|Wanda Sykes,,Steve Oedekerk,What happens in the barn stays in the barn,peasant|farm|cow|cojote|family,"When things get crazy at the farm, it's up to a boisterous bovine named Otis (voiced by Kevin James) to save the day in this computer-animated tale. The animals in this barnyard sing, dance and party, but Otis's stern dad (Sam Elliott) warns the crew to keep their cool around humans. Troublemaker Otis rarely listens to his pop, but when the farmer disappears and the animals go nutty, the young cow realizes he must stop the madness.",90,Animation|Comedy|Family,Paramount Pictures|Nickelodeon Movies|Paramount Animation,2006-08-04,124,5.3,2006,55165127.0729,78722799.6713,Paramount Pictures
6676,1125,tt0443489,0.6477,70000000,154937680,Dreamgirls,Jamie Foxx|Beyoncé Knowles|Eddie Murphy|Danny Glover|Jennifer Hudson,http://www.dreamgirlsmovie.com/,Bill Condon,One Dream Will Change Everything,music record|manager|black people|adultery|soul,"Three young women – Deena Jones, Effie White and Lorrell Robinson – dream of becoming pop stars and they get their wish when they're chosen to be backup singers for the legendary James 'Thunder' Early.",134,Drama,Paramount Pictures|DreamWorks SKG|Laurence Mark Productions,2006-12-25,146,6.5,2006,75716841.0804,167591309.913,Paramount Pictures
6680,12094,tt0493430,0.638444,11000000,72778712,Jackass Number Two,Johnny Knoxville|Bam Margera|Steve-O|Chris Pontius|Ryan Dunn,,Jeff Tremaine,Guess who just made number two?,wound|disgust|pain|stunt|stuntman,"Jackass Number Two is a compilation of various stunts, pranks and skits, and essentially has no plot. Chris Pontius, Johnny Knoxville, Steve-O, Bam Margera, and the whole crew return to the screen to raise the stakes higher than ever before.",95,Action|Comedy|Documentary,Paramount Pictures,2006-09-22,180,6.4,2006,11898360.7412,78722488.1506,Paramount Pictures
6683,4723,tt0405336,0.631574,17000000,374743,Southland Tales,Dwayne Johnson|Seann William Scott|Sarah Michelle Gellar|Mandy Moore|Will Sasso,http://darko.com/film_southlandtales.html,Richard Kelly,Have a nice apocalypse.,suicide|brother brother relationship|spy|prophecy|middle east,"Set in the futuristic landscape of Los Angeles on July 4, 2008, as it stands on the brink of social, economic and environmental disaster. Boxer Santaros is an action star who's stricken with amnesia. His life intertwines with Krysta Now, an adult film star developing her own reality television project, and Ronald Taverner, a Hermosa Beach police officer who holds the key to a vast conspiracy.",144,Action|Adventure|Comedy|Drama|Science Fiction,Universal Pictures|Persistent Entertainment|Wild Bunch,2006-05-15,79,4.9,2006,18388375.691,405347.945386,Universal Pictures
6684,9615,tt0463985,0.62873,85000000,158468292,The Fast and the Furious: Tokyo Drift,Lucas Black|Sung Kang|Brian Tee|Nathalie Kelley|Shad Moss,http://www.thefastandthefurious3.com/,Justin Lin,"On the streets of Tokyo, speed needs no translation...",car race|car journey|car mechanic|auto|car garage,"In order to avoid a jail sentence, Sean Boswell heads to Tokyo to live with his military father. In a low-rent section of the city, Shaun gets caught up in the underground world of drift racing",104,Action|Crime|Drama|Thriller,Universal Pictures,2006-06-03,1074,6.1,2006,91941878.4548,171410264.024,Universal Pictures
6707,9986,tt0413895,0.536631,85000000,144,Charlotte's Web,Julia Roberts|Steve Buscemi|John Cleese|Oprah Winfrey|Cedric the Entertainer,,Gary Winick,"Something unexpected, unbelievable, unforgettable.",hero|barn|spider|pig|egg,"Wilbur the pig is scared of the end of the season, because he knows that come that time, he will end up on the dinner table. He hatches a plan with Charlotte, a spider that lives in his pen, to ensure that this will never happen.",97,Comedy|Family|Fantasy,Paramount Pictures|Kerner Entertainment Company,2006-12-15,161,6.0,2006,91941878.4548,155.760358794,Paramount Pictures
6723,17379,tt0408985,0.4819,45000000,38399961,Last Holiday,Queen Latifah|LL Cool J|Timothy Hutton|Giancarlo Esposito|Alicia Witt,,Wayne Wang,She always thought she was somebody special... and she was.,,"After she's diagnosed with a terminal illness, a shy woman decides to take a European vacation.",112,Adventure|Comedy|Drama,Paramount Pictures,2006-01-13,72,6.4,2006,48675112.1231,41536053.4933,Paramount Pictures
6726,9829,tt0475276,0.463155,15000000,76286096,United 93,J.J. Johnson|Polly Adams|Trish Gates|Nancy McDoniel|Opal Alladin,,Paul Greengrass,"September 11, 2001. Four planes were hijacked. Three of them reached their target. This is the story of the fourth.",airplane|hijacking|terror cell|emergency landing|war on terror,"A real time account of the events on United Flight 93, one of the planes hijacked on 9/11 that crashed near Shanksville, Pennsylvania when passengers foiled the terrorist plot.",111,Drama|History|Crime|Thriller|Action,Universal Pictures|StudioCanal|Sidney Kimmel Entertainment|Working Title Films,2006-04-28,180,6.6,2006,16225037.3744,82516317.2497,Universal Pictures
6768,9895,tt0483726,0.360145,20000000,41237648,Man of the Year,Robin Williams|Christopher Walken|Laura Linney|Lewis Black|Jeff Goldblum,,Barry Levinson,Elections are made to be broken.,u.s. president|president elections|comedian,"The irreverent host of a political satire talk show decides to run for president and expose corruption in Washington. His stunt goes further than he expects when he actually wins the election, but a software engineer suspects that a computer glitch is responsible for his surprising victory.",115,Comedy|Drama|Romance|Thriller,Universal Pictures|Morgan Creek Productions,2006-10-09,64,5.4,2006,21633383.1658,44605492.0021,Universal Pictures
6817,1967,tt0384814,0.227243,0,0,Ask the Dust,Colin Farrell|Salma Hayek|Donald Sutherland|Eileen Atkins|Idina Menzel,,Robert Towne,Passion and ambition drive two dreamers in 1930s LA. Their love affair is ferocious and hot-blooded as they fight the city and themselves to make their dreams come true.,italy|mexico|alcohol|sex|beach,"Mexican beauty Camilla hopes to rise above her station by marrying a wealthy American. That is complicated by meeting Arturo Bandini, a first-generation Italian hoping to land a writing career and a blue-eyed blonde on his arm.",117,Drama|Romance,Paramount Pictures|Cruise/Wagner Productions|Capitol Films|Ascendant Pictures|Noble House Entertainment Pictures,2006-02-02,23,5.2,2006,0.0,0.0,Paramount Pictures
6839,9809,tt0454987,0.249949,4000000,4630045,Let's Go to Prison,Dax Shepard|Will Arnett|Chi McBride|David Koechner|Dylan Baker,,Bob Odenkirk,Welcome to the slammer,loss of father|condom|vulgar|parole board|alcohol abuse,"When a career criminal's plan for revenge is thwarted by unlikely circumstances, he puts his intended victim's son in his place by putting him in prison...and then joining him.",84,Comedy|Crime,Universal Pictures,2006-11-17,36,5.4,2006,4326676.63317,5008176.878,Universal Pictures
6964,9801,tt0317198,3.990488,50000000,40203020,Bridget Jones: The Edge of Reason,Renée Zellweger|Hugh Grant|Colin Firth|Jim Broadbent|Gemma Jones,,Beeban Kidron,Same Bridget. Brand new diary.,london|lovesickness|thailand|clumsy fellow|to drop brick,"The story picks up four weeks after the first film, and already Bridget Jones is becoming uncomfortable in her relationship with Mark Darcy. Apart from discovering that he's a conservative voter, she has to deal with a new boss, strange contractor, and the worst vacation of her life.",108,Comedy|Romance,Miramax Films|Universal Pictures|Studio Canal|Working Title Films|Atlantic Television,2004-11-10,431,6.0,2004,57722269.9906,46412191.4976,Universal Pictures
6968,2502,tt0372183,3.196643,75000000,288500217,The Bourne Supremacy,Matt Damon|Franka Potente|Brian Cox|Julia Stiles|Karl Urban,https://www.uphe.com/movies/the-bourne-supremacy,Paul Greengrass,They should have left him alone.,berlin|assassin|based on novel|amnesia|sniper,"When a CIA operation to purchase classified Russian documents is blown by a rival agent, who then shows up in the sleepy seaside village where Bourne and Marie have been living. The pair run for their lives and Bourne, who promised retaliation should anyone from his former life attempt contact, is forced to once again take up his life as a trained assassin to survive.",108,Action|Drama|Thriller,Universal Pictures|The Kennedy/Marshall Company|Hypnotic|Motion Picture THETA Produktionsgesellschaft|Ludlum Entertainment,2004-07-23,1966,7.1,2004,86583404.9859,333057748.36,Universal Pictures
6973,10625,tt0377092,2.629934,17000000,129042871,Mean Girls,Lindsay Lohan|Rachel McAdams|Tim Meadows|Ana Gasteyer|Amy Poehler,http://www.meangirls.com/,Mark Waters,Welcome to girl world.,female friendship|high school|fish out of water|best friend|teenager,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",97,Comedy,Paramount Pictures,2004-04-30,1357,6.8,2004,19625571.7968,148972948.805,Paramount Pictures
6974,7131,tt0338526,2.499507,160000000,300257475,Van Helsing,Hugh Jackman|Kate Beckinsale|Richard Roxburgh|David Wenham|Shuler Hensley,https://www.uphe.com/movies/van-helsing,Stephen Sommers,The One Name They All Fear.,transylvania|vatican|dracula|frankenstein|werewolf,Famed monster slayer Gabriel Van Helsing is dispatched to Transylvania to assist the last of the Valerious bloodline in defeating Count Dracula. Anna Valerious reveals that Dracula has formed an unholy alliance with Dr. Frankenstein's monster and is hell-bent on exacting a centuries-old curse on her family.,132,Horror|Adventure|Action,"Universal Pictures|Stillking Films|Sommers Company, The",2004-05-05,918,5.9,2004,184711263.97,346630860.773,Universal Pictures
6981,693,tt0290002,2.041955,80000000,516642939,Meet the Fockers,Ben Stiller|Teri Polo|Robert De Niro|Dustin Hoffman|Barbra Streisand,http://www.meetthefockers.com/index.php,Jay Roach,Misery loves family.,cia|parents kids relationship|florida|anti-authoritarian upbringing|jew,"Hard-to-crack ex-CIA man, Jack Byrnes and his wife, Dina head for the warmer climes of Florida to meet son-in-law-to-be, Greg Focker's parents. Unlike their happily matched offspring, the future in-laws find themselves in a situation of opposites that definitely do not attract.",115,Comedy|Romance,DreamWorks SKG|Universal Pictures|Everyman Pictures|Tribeca Productions,2004-12-15,782,6.1,2004,92355631.985,596436064.274,Universal Pictures
6984,1538,tt0369339,1.83193,65000000,217764291,Collateral,Tom Cruise|Jamie Foxx|Jada Pinkett Smith|Mark Ruffalo|Peter Berg,,Michael Mann,It started like any other night.,california|taxi|assassin|hostage|taxi driver,Cab driver Max picks up a man who offers him $600 to drive him around. But the promise of easy money sours when Max realizes his fare is an assassin.,120,Drama|Crime|Thriller,Paramount Pictures|DreamWorks SKG|Parkes/MacDonald Productions|Edge City,2004-08-04,810,6.7,2004,75038950.9878,251396983.988,Paramount Pictures
6985,747,tt0365748,1.823597,4000000,30039392,Shaun of the Dead,Simon Pegg|Nick Frost|Kate Ashfield|Lucy Davis|Dylan Moran,,Edgar Wright,A romantic comedy. With zombies.,record collection|flower|cheese|pub|surrey,Shaun of the Dead is a humorous homage to Zombie movies from director Edgar Wright; an outrageous romantic comedy with zombies.,99,Horror|Comedy,Universal Pictures|Big Talk Productions|StudioCanal|Film4|Working Title Films,2004-04-09,1413,7.4,2004,4617781.59925,34678837.9076,Universal Pictures
6989,11774,tt0339291,1.665648,140000000,209073645,Lemony Snicket's A Series of Unfortunate Events,Jim Carrey|Meryl Streep|Jude Law|Emily Browning|Liam Aiken,,Brad Silberling,Darkening theaters December 17.,library|baby|banane|baudelaire,"Three wealthy children's parents are killed in a fire. When they are sent to a distant relative, they find out that he is plotting to kill them and seize their fortune.",108,Adventure|Fantasy|Comedy|Family,Paramount Pictures|Scott Rudin Productions|Nickelodeon Movies|DreamWorks Pictures|Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 2 KG,2004-12-16,747,6.5,2004,161622355.974,241364107.692,Paramount Pictures
6994,5137,tt0346156,1.590381,70000000,57958696,Sky Captain and the World of Tomorrow,Jude Law|Gwyneth Paltrow|Giovanni Ribisi|Angelina Jolie|Bai Ling,http://www.skycaptain.com/,Kerry Conran,Who will save us?,london|himalaya|journalist|killer robot|computer war,"When gigantic robots attack New York City, ""Sky Captain"" uses his private air force to fight them off. His ex-girlfriend, reporter Polly Perkins, has been investigating the recent disappearance of prominent scientists. Suspecting a link between the global robot attacks and missing men, Sky Captain and Polly decide to work together. They fly to the Himalayas in pursuit of the mysterious Dr. Totenkopf, the mastermind behind the robots.",107,Mystery|Action|Thriller|Science Fiction|Adventure,Paramount Pictures|Natural Nylon Entertainment|Riff Raff Film Productions|Filmauro|Blue Flower Productions,2004-09-17,249,5.7,2004,80811177.9869,66910149.9763,Paramount Pictures
6996,11836,tt0345950,1.556897,30000000,140161792,The SpongeBob SquarePants Movie,Tom Kenny|Clancy Brown|Rodger Bumpass|Bill Fagerbakke|Carolyn Lawrence,,Stephen Hillenburg,Bigger. Better. More absorbent.,ocean|sea|star|water|freeze,"There's trouble brewing in Bikini Bottom. Someone has stolen King Neptune's crown, and it looks like Mr. Krab, SpongeBob's boss, is the culprit. Though he's just been passed over for the promotion of his dreams, SpongeBob stands by his boss, and along with his best pal Patrick, sets out on a treacherous mission to Shell City to reclaim the crown and save Mr. Krab's life.",87,Animation|Comedy|Family,Paramount Pictures|Nickelodeon Movies|Paramount Animation,2004-11-14,348,6.6,2004,34633361.9944,161809136.004,Paramount Pictures
7015,5966,tt0343135,1.23067,42000000,171963386,Along Came Polly,Ben Stiller|Jennifer Aniston|Philip Seymour Hoffman|Debra Messing|Alec Baldwin,http://www.alongcamepolly.com/,John Hamburg,"For the most cautious man on Earth, life is about to get interesting.",beach|honeymoon|bride|chance|risk,"Reuben Feffer is a guy who's spent his entire life playing it safe. Polly Prince is irresistible as a free-spirit who lives for the thrill of the moment. When these two comically mismatched souls collide, Reuben's world is turned upside down, as he makes an uproarious attempt to change his life from middle-of-the-road to totally-out-there.",90,Comedy|Romance,Universal Pictures|Jersey Films|Loofah Productions,2004-01-16,440,5.7,2004,48486706.7921,198522339.904,Universal Pictures
7024,2789,tt0296572,1.052176,105000000,115772733,The Chronicles of Riddick,Vin Diesel|Christina Cox|Colm Feore|Karl Urban|Judi Dench,http://www.thechroniclesofriddick.com/,David Twohy,All the power in the universe can't change destiny.,sunrise|adventure|dystopia|matter of life and death|rifle,"Five years after the events in sci-fi film Pitch Black, escaped convict Riddick finds himself caught in the middle of a galactic war waged by Lord Marshal, the leader of a sect called the Necromongers. Riddick is charged with stopping the Necromonger army, all while rescuing an old friend from a prison planet and evading capture by bounty hunters.",119,Adventure|Action|Thriller|Science Fiction,Universal Pictures|One Race Productions|Primal Foe Productions|Radar Pictures,2004-06-11,1118,6.2,2004,121216766.98,133653299.036,Universal Pictures
7035,14462,tt0368008,0.927088,80000000,96105964,The Manchurian Candidate,Denzel Washington|Meryl Streep|Liev Schreiber|Jon Voight|Kimberly Elise,,Jonathan Demme,This summer everything is under control.,senator|gulf war|canoe|kuwait|conspiracy,"When his army unit was ambushed during the first Gulf War, Sergeant Raymond Shaw saved his fellow soldiers just as his commanding officer, then-Captain Ben Marco, was knocked unconscious. Brokering the incident for political capital, Shaw eventually becomes a vice-presidential nominee, while Marco is haunted by dreams of what happened -- or didn't happen -- in Kuwait. As Marco (now a Major) investigates, the story begins to unravel, to the point where he questions if it happened at all. Is it possible the entire unit was kidnapped and brainwashed to believe Shaw is a war hero as part of a plot to seize the White House? Some very powerful people at Manchurian Global corporation appear desperate to stop him from finding out.",129,Drama|Thriller|Mystery,Paramount Pictures|Scott Rudin Productions|Clinica Estetico,2004-07-30,181,6.1,2004,92355631.985,110949088.034,Paramount Pictures
7039,8849,tt0375173,0.898601,60000000,13395939,Alfie,Jude Law|Marisa Tomei|Omar Epps|Jane Krakowski|Renée Taylor,,Charles Shyer,Meet a man who never met a woman he didn't love.,new york|cheating|flirt|lover|older woman seduces younger guy,"In Manhattan, the British limousine driver Alfie is surrounded by beautiful women, having one night stands with all of them and without any sort of commitment. His best friends are his colleague Marlon and his girl-friend Lonette. Alfie has a brief affair with Lonette, and the consequences of his act forces Alfie to reflect over his lifestyle.",103,Comedy,Paramount Pictures|Patalex Productions,2004-10-22,140,5.4,2004,69266723.9887,15464880.1547,Paramount Pictures
7043,9890,tt0327162,0.8676,90000000,102000000,The Stepford Wives,Nicole Kidman|Matthew Broderick|Bette Midler|Glenn Close|Christopher Walken,,Frank Oz,The wives of Stepford have a secret.,android|housewife|transformation,"What does it take to become a Stepford wife, a woman perfect beyond belief? Ask the Stepford husbands, who've created this high-tech, terrifying little town.",93,Action|Comedy|Science Fiction,Paramount Pictures|De Line Pictures|DreamWorks Pictures,2004-06-10,183,5.4,2004,103900085.983,117753430.781,Paramount Pictures
7055,13572,tt0315297,0.76787,50000000,25195000,Twisted,Ashley Judd|Samuel L. Jackson|Andy García|David Strathairn|Russell Wong,,Philip Kaufman,Every murder has a mark.,,"Recently promoted and transferred to the homicide division, Inspector Jessica Shepard feels pressure to prove herself -- and what better way than by solving San Francisco's latest murder? However, as Shepard and her partner, Mike Delmarco, soon discover, the victim shared a romantic connection to her. As more of Shepard's ex-lovers turn up dead, her mind starts to become unstable, and she begins to wonder if she could be the very killer she's trying to track down.",97,Action|Adventure|Crime|Drama|Thriller,Paramount Pictures|Kopelson Entertainment|Harlequin Pictures|Intertainment AG|Blackout Productions Inc.,2004-02-27,67,5.7,2004,57722269.9906,29086251.8483,Paramount Pictures
7059,3989,tt0372588,0.73712,32000000,50907422,Team America: World Police,Trey Parker|Matt Stone|Kristen Miller|Masasa Moyo|Daran Norris,http://www.teamamerica.com,Trey Parker,Putting The 'F' back in 'Freedom',paris|france|cairo|capitalism|loss of lover,"Team America World Police follows an international police force dedicated to maintaining global stability. Learning that dictator Kim Jong il is out to destroy the world, the team recruits Broadway star Gary Johnston to go undercover. With the help of Team America, Gary manages to uncover the plan to destroy the world. Will Team America be able to save it in time? It stars… Samuel L Jackson, Tim Robbins, Sean Penn, Michael Moore, Helen Hunt, Matt Damon, Susan Sarandon, George Clooney, Danny Glover, Ethan Hawke, Alec Baldwin… or does it?",98,Music|Adventure|Animation|Action|Comedy,Paramount Pictures|Scott Rudin Productions,2004-10-11,391,6.5,2004,36942252.794,58769839.1442,Paramount Pictures
7066,10762,tt0364751,0.696312,19000000,69631118,Without a Paddle,Seth Green|Matthew Lillard|Dax Shepard|Antony Starr|Andrew Hampton,,Steven Brill,"The call of the wild, the thrill of adventure. The mistake of a lifetime.",death of a friend|treasure hunt,"Three friends, whose lives have been drifting apart, reunite for the funeral of a fourth childhood friend. When looking through their childhood belongings, they discover a trunk which contained details on a quest their friend was attempting. It revealed that he was hot on the trail of the $200,000 that went missing with airplane hijacker D.B. Cooper in 1971. They decide to continue his journey, but do not understand the dangers they will soon encounter.",95,Action|Adventure|Comedy|Thriller,Paramount Pictures|De Line Pictures,2004-08-20,109,5.2,2004,21934462.5964,80385323.8589,Paramount Pictures
7075,1677,tt0350258,0.648721,40000000,124731534,Ray,Jamie Foxx|Kerry Washington|Regina King|Harry Lennix|Clifton Powell,http://movies.uip.de/ray/,Taylor Hackford,The extraordinary life story of Ray Charles. A man who fought harder and went farther than anyone thought possible.,black people|soul|country music|loss of brother|1970s,"Born on a sharecropping plantation in Northern Florida, Ray Charles went blind at seven. Inspired by a fiercely independent mom who insisted he make his own way, He found his calling and his gift behind a piano keyboard. Touring across the Southern musical circuit, the soulful singer gained a reputation and then exploded with worldwide fame when he pioneered couping gospel and country together.",152,Drama,Universal Pictures,2004-10-29,246,7.0,2004,46177815.9925,143995745.638,Universal Pictures
7080,11823,tt0360201,0.614248,31000000,41512007,Wimbledon,Kirsten Dunst|Paul Bettany|Sam Neill|James McAvoy|Bernard Hill,,Richard Loncraine,She's the golden girl. He's the longshot. It's a match made in...,tennis|new love|tennis player|australia|wimbledon,"A pro tennis player has lost his ambition and has fallen in rank to 119. Fortunately for him, he meets a young player on the women's circuit who helps him recapture his focus for Wimbledon.",98,Comedy|Romance,Universal Pictures,2004-09-13,168,5.7,2004,35787807.3942,47923345.5181,Universal Pictures
7082,13505,tt0314498,0.610925,0,0,The Perfect Score,Chris Evans|Bryan Greenberg|Scarlett Johansson|Erika Christensen|Matthew Lillard,,Brian Robbins,The S.A.T is hard to take. It's even harder to steal.,secret|test|school|student|hacking,Six high school seniors decide to break into the Princeton Testing Center so they can steal the answers to their upcoming SAT tests and all get perfect scores.,93,Comedy|Crime,Paramount Pictures,2004-01-30,78,5.5,2004,0.0,0.0,Paramount Pictures
7097,11137,tt0337697,0.509946,0,0,The Prince & Me,Julia Stiles|Luke Mably|Ben Miller|Miranda Richardson|James Fox,,Martha Coolidge,Finding your inner princess can be such a royal pain.,secret identity|wisconsin|prince|college|modesty,"A fairy tale love-story about pre-med student Paige who falls in love with a Danish Prince ""Eddie"" who refused to follow the traditions of his parents and has come to the US to quench his thirst for rebellion. Paige and Edward come from two different worlds, but there is an undeniable attraction between them.",111,Comedy|Romance,Paramount Pictures|Lions Gate Films|Epsilon Motion Pictures|Stillking Films|Sobini Films,2004-03-28,163,5.8,2004,0.0,0.0,Paramount Pictures
